m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
367.0936779,3.96E-09,79245352,521898453.3,544.448,537.534,561.985,6538,7067,7201,0
163.1156955,5.11E-09,78025216,252644797.2,657.427,649.013,667.527,2132,2576,2208,0
86.09632365,4.61E-09,76263920,274243268.6,573.966,561.985,577.765,666,970,487,0
278.170697,2.72E-08,75787832,138945629.3,537.534,529.669,551.921,4497,5024,5108,0
148.0796814,1.21E-09,73455680,219077106.5,662.031,649.013,672.218,1845,2279,1884,0
132.0654892,3.85E-10,71919776,198608586.3,654.542,646.13,672.218,1501,1909,1479,0
142.0263901,2.73E-09,71857184,258734823.4,654.542,646.13,672.218,1697,2123,1716,0
129.0658101,1.38E-09,71106872,197203532.8,674.698,665.048,699.583,1453,1852,1392,0
130.0498562,3.95E-10,63439012,207668442,601.776,594.331,612.556,1468,1867,1413,0
246.1697947,1.67E-08,62988212,178193254,537.534,522.975,557.161,3840,4360,4334,0
352.1322912,5.93E-08,62063012,139140001.9,208.634,202.979,238.437,6208,6745,6868,0
118.086195,5.83E-10,60959156,308663977,686.483,672.218,699.583,1224,1588,1079,0
121.068803,4.05E-09,59998500,199114205.7,649.013,638.555,669.738,1285,1665,1184,0
175.1188812,1.63E-09,59259756,282806788,1119.01,1113.53,1121.23,2370,2835,2527,0
175.118866,4.66E-10,58405460,222590776,1109.92,1106.3,1111.86,2370,2835,2528,0
105.042291,2.89E-10,58109884,311400404,1240.95,1232.97,1247.53,980,1320,798,0
268.9982605,2.79E-09,58002872,163123844,1229.94,1227.46,1232.97,4290,4820,4869,0
355.0630986,4.56E-08,57884116,183989085.1,194.95,181.759,221.037,6270,6804,6916,0
268.9981943,3.72E-09,57749000,767656839.5,1218.54,1125.65,1221.83,4290,4820,4870,0
268.9982178,2.14E-09,57302388,261513088,1238.47,1235.18,1247.53,4290,4820,4871,0
105.0422821,1.86E-10,56354992,284253400,1207.67,1201.89,1216.05,980,1320,799,0
