"","m/z","var_m/z","max_int","sum_int","RT","minRT","maxRT","part_ID","EIC_ID","peak_ID","Score"
"3552",225.208978271484,6.12344592809677e-09,812663.75,3459169.4375,1922.79,1917.76,1926.7,947,1923,1651,0
"3553",1001.91886901855,4.00437662998835e-06,812644.125,2416116.375,1778.61,1773.18,1781.4,5483,12068,13071,0
"3554",465.477773030599,5.53315176683314e-08,811626.125,8374032.94921875,853.277,824.633,859.474,3127,6986,6699,0
"3555",809.744213867187,4.67225909233093e-06,811609.0625,3558093.4375,1521.15,1514.66,1526.42,4875,10488,10809,0
"3556",650.483613666735,4.36839304472271e-07,811549.875,8918023.35351562,985.279,955.458,988.669,4176,8737,8302,0
"3557",634.503393554687,2.3767352104187e-07,810956.5,3096965.34375,1916.17,1912.52,1920.02,4077,8604,8170,0
"3558",454.481173001803,5.92106236861302e-08,810594.0625,6263373.87695312,970.645,948.626,972.607,3060,6829,6542,0
"3559",732.627278645833,7.32193390528361e-06,810564.8125,2776537.890625,1391.88,1383.46,1408.17,4592,9518,9316,0
"3560",855.86826171875,3.44328582286835e-06,809950.1875,2682681.359375,1778.61,1768.44,1781.4,5013,11079,11753,0
"3561",851.251042683919,3.49133077896003e-07,808964.5,6085600.33984375,1030.65,1012.3,1034.85,4994,11017,11663,0
"3562",792.701192220052,4.31636969248454e-07,808230.375,2715639.875,1440.01,1440.01,1468.65,4827,10275,10452,0
"3563",453.224029541016,5.35966828465462e-05,808227.5625,1490764.9375,1894.58,1888.29,1899.17,3048,6804,6511,0
"3564",845.789053780692,8.85909511929467e-07,807588.25,4706569.3125,1506.48,1494.99,1511.62,4981,10950,11556,0
"3565",353.221772413987,7.84904337846316e-08,807270.125,10429591.6425781,225.112,223.017,286.622,2281,4886,4551,0
"3566",954.272521972656,4.14748986562093e-07,807077.625,3921639.234375,1666.76,1661.07,1677.88,5370,11850,12790,0
"3567",542.532348632812,1.96198622385661e-07,806869.0625,1792593,1263.17,1260.41,1270.79,3564,7921,7578,0
"3568",1000.82684326172,1.04419887065887e-05,806810.3125,1612192.84375,1719.4,1713.15,1719.4,5480,12063,13065,0
"3569",819.604284667969,6.06589019298553e-06,806371.75,2905224.40625,1256.51,1254.83,1265.12,4899,10614,11036,0
"3570",604.531692504883,3.27293361936297e-08,805647.5625,5236650.125,521.12,510.841,524.933,3898,8365,7935,0
"3571",736.736685616629,3.19665386563256e-07,805284.25,3740125.296875,1574.49,1559.95,1577.83,4608,9566,9385,0
"3572",966.913957868304,5.63849295888628e-06,804394.625,3656134.96875,1775.96,1768.44,1784.04,5392,11912,12867,0
"3573",770.540030343192,8.27440193721226e-06,804290.875,3135580.484375,1174.79,1163.85,1186.89,4761,10020,10064,0
"3574",736.599690755208,9.54916079839071e-07,804166.6875,2119619.8125,1483.18,1480.14,1484.73,4608,9567,9386,0
"3575",810.779922485352,5.38025051355362e-06,803999.875,1855290.703125,1771.08,1765.8,1773.18,4878,10499,10830,0
"3576",806.634989420573,2.25131710370382e-06,803614.4375,2179454.3125,1353.33,1353.33,1364.07,4868,10456,10744,0
"3577",822.582234700521,2.93778650688403e-06,803000.875,5009348.2421875,1111.27,1090.26,1120.13,4914,10662,11113,0
"3578",741.556884765625,2.51208742459615e-06,802986.1875,3719614.65625,1315.06,1311.93,1333.02,4626,9628,9478,0
"3579",211.193316650391,6.33299350738525e-09,802939.125,2882759.796875,1794.45,1786.81,1797.37,801,1560,1323,0
"3580",363.329587809245,2.1615553469885e-08,802670.25,6312471.0625,747.563,747.563,776.261,2386,5105,4785,0
"3581",809.745032677284,3.55674479252253e-06,802129.0625,6259362.921875,1550.15,1539.61,1574.49,4875,10488,10810,0
"3582",1101.81109619141,7.49528408050537e-07,802055.5,2973086.5,1696.33,1693.15,1707.45,5677,12296,13273,0
"3583",684.526746961806,1.35766135321723e-07,801595.5625,5070071.359375,1080.81,1062.46,1083.71,4371,9029,8606,0
"3584",851.690811157227,1.18060658375422e-06,801453.875,2317485.15625,1497.76,1494.99,1504.12,4996,11022,11674,0
"3585",510.327337900798,1.21475170379963e-07,801383,10242405.4296875,241.918,198.127,249.415,3373,7559,7246,0
"3586",907.887044270833,0.000209258248408635,801289.875,2087937.0625,1749.27,1749.27,1759.7,5206,11534,12358,0
"3587",908.848678588867,3.85039796431859e-06,801105.8125,2104724.96875,1837.14,1837.14,1847.98,5211,11544,12371,0
"3588",402.344604492188,3.72529029846191e-09,800957.875,1895536.65625,833.229,831.534,835.058,2690,5883,5585,0
"3589",941.863500976562,1.03127211332321e-05,800897.4375,2421313.6875,1763.02,1749.27,1765.8,5335,11785,12699,0
"3590",999.903642926897,7.70602907453264e-06,800188.0625,3290057.65625,1754.96,1746.36,1763.02,5478,12060,13057,0
"3591",439.461849636502,1.8729931778378e-08,800183.5625,4561138.015625,922.923,896.897,927.25,2957,6568,6274,0
"3592",829.639831542969,7.30156898498535e-07,800095.0625,1519747.8125,1365.61,1364.07,1368.38,4934,10756,11244,0
"3593",857.706567382813,7.60443508625031e-06,799999.6875,2727904.8125,1465.33,1455.53,1468.65,5019,11099,11775,0
"3594",852.687615288628,1.22547563579347e-05,798133.5,5207587.21875,1462.02,1452.22,1477.78,4999,11032,11689,0
"3595",830.700387137277,2.00598012833368e-06,797420.25,3837514.859375,1618.39,1609.12,1633.21,4936,10769,11259,0
"3596",940.862350463867,2.63039643565814e-05,797249.875,2577087.65625,1781.4,1778.61,1786.81,5333,11780,12692,0
"3597",230.2477684021,2.23129366834958e-09,796294.125,2859790.3125,269.436,261.517,269.436,1007,2058,1767,0
"3598",975.817016601562,5.09023666381836e-06,795561.75,2999246.921875,1728.82,1728.82,1741.22,5408,11946,12924,0
"3599",576.410586270419,1.3569894033077e-07,794887.3125,6184562.00976562,342.451,342.451,386.134,3739,8163,7773,0
"3600",809.741918945312,1.76876783370972e-06,794500.125,2876617.5,1508.71,1501.07,1511.62,4875,10488,10811,0
"3601",225.208969116211,3.10440858205160e-09,794275.8125,2604333.875,1905.45,1900.99,1907.68,947,1923,1652,0
"3602",906.799112955729,4.18101747830709e-06,794054.0625,1848199.9375,1722.72,1719.4,1725.64,5202,11523,12343,0
"3603",204.123083496094,3.02679836750031e-10,793382.4375,3766764.0625,125.024,116.532,129.727,731,1385,1178,0
"3604",442.349212646484,1.32820927179777e-07,793201.4375,6117349.4453125,766.183,763.951,790.641,2982,6612,6317,0
"3605",694.559865315755,8.66378347078959e-07,793103.875,3531813.84375,1091.94,1091.94,1103.91,4430,9120,8725,0
"3606",1296.3603515625,5.19553820292155e-06,792840.25,1402258.28125,1422.2,1417.48,1429.32,5881,12495,13500,0
"3607",1024.51721191406,7.66345432826451e-07,792395.5625,4484626.8125,1452.22,1436.84,1455.53,5528,12140,13147,0
"3608",620.585014343262,4.41728292831353e-05,792061.875,2863666.96875,1450.81,1446.09,1465.33,4013,8506,8079,0
"3609",640.602233886719,5.31971454620361e-07,791706.5625,3086568.328125,1786.81,1781.4,1794.45,4117,8657,8222,0
"3610",927.879679361979,1.58933301766713e-05,791350.3125,1854302.125,1775.96,1773.18,1781.4,5286,11692,12578,0
"3611",744.590545654297,1.00707014401754e-06,791149.3125,2781991.71875,1524.06,1521.15,1528.79,4635,9659,9509,0
"3612",750.752212524414,1.58324837684631e-08,791140.5625,2186175.15625,1568.8,1559.95,1568.8,4664,9740,9625,0
"3613",702.590291341146,9.29211576779683e-06,790709.6875,1618298.015625,1248.64,1244.57,1248.64,4466,9197,8811,0
"3614",942.886962890625,8.07046890258789e-06,790334.875,3031792.21875,1794.45,1784.04,1797.37,5336,11789,12705,0
"3615",356.127948760986,2.18029267021588e-08,789652.625,4895500.1875,232.602,216.87,232.602,2310,4944,4626,0
"3616",280.263366699219,2.98023223876953e-09,789176.25,4169765,489.406,483.349,493.214,1530,3246,2918,0
"3617",369.383778889974,4.34617201487223e-09,789145.1875,4536704.3125,609.308,606.127,614.697,2435,5223,4909,0
"3618",385.346214743221,5.88239773231394e-09,788844.4375,8299909.140625,530.048,527.94,557.603,2570,5562,5239,0
"3619",454.292305686257,4.63967973535711e-08,788619.875,5193307.3515625,784.09,766.183,786.724,3057,6821,6535,0
"3620",217.069895172119,8.46216847237788e-09,788104.375,7536944.07617188,225.112,225.112,272.617,856,1702,1446,0
"3621",1354.36910400391,4.6725074450175e-06,787869.125,5011563.8984375,1699.25,1696.33,1722.72,5954,12567,13574,0
"3622",736.596775599888,7.89247098423186e-06,787433.625,3468779.5,1474.6,1458.71,1477.78,4608,9567,9387,0
"3623",693.524353027344,1.11758708953857e-08,787423.6875,1643835.28125,1122.62,1120.13,1125.95,4425,9112,8713,0
"3624",426.342543168501,5.52020289681175e-08,786111.125,5190194.9375,315.48,315.48,338.52,2858,6331,6047,0
"3625",650.483825683594,7.45058059692383e-09,785416.375,3208855.53125,990.631,990.631,999.16,4176,8737,8303,0
"3626",924.867401123047,5.29612104098002e-06,785415.8125,2540984.71875,1736.48,1734.11,1741.22,5276,11674,12548,0
"3627",189.052355630057,3.84694123000064e-09,785316.0625,11661361.9785156,215.181,184.255,241.918,568,1038,861,0
"3628",265.003128051758,5.49480319023132e-09,785072.1875,3830973.09375,1905.45,1900.99,1911.1,1372,2875,2557,0
"3629",894.753346761068,1.09647711118062e-06,784136.375,5654720.8359375,1704.67,1680.67,1713.15,5152,11420,12211,0
"3630",341.156943873355,2.9992943967295e-08,783603.0625,5801882.04785156,218.83,184.255,220.788,2174,4618,4281,0
"3631",952.772537231445,1.89431011676788e-06,783445.4375,3779550.015625,1666.76,1661.07,1680.67,5366,11842,12777,0
"3632",453.22585550944,3.77295228342215e-05,783313.0625,2959550.59765625,1959.16,1948.69,1968.32,3048,6805,6513,0
"3633",880.573593139648,1.69932221372922e-05,783295.1875,1420622.34375,1122.62,1108.77,1122.62,5088,11292,12034,0
"3634",360.28950398763,1.92739424251375e-08,783160.75,6534209.0078125,729.334,704.655,731.842,2352,5031,4715,0
"3635",841.714270019531,3.91267240047455e-06,782942.8125,3047547.0625,1605.93,1595.97,1609.12,4972,10898,11475,0
"3636",418.339862060547,4.24150909696307e-08,782694.4375,5703314.33203125,291.228,254.145,291.228,2812,6166,5890,0
"3637",775.702382405599,3.29973797003428e-06,781821.625,2898818.75,1375.07,1370.6,1383.46,4777,10078,10135,0
"3638",442.349324544271,1.14242235819499e-08,781391.625,4027723,750.681,747.563,757.925,2982,6612,6318,0
"3639",605.033404032389,1.06406978506973e-07,781107.5,8029943.8828125,527.94,526.368,568.69,3901,8368,7938,0
"3640",228.23215230306,2.5029294192791e-09,780864.0625,5432049.46875,389.813,387.974,404.566,987,2010,1730,0
"3641",889.800521850586,5.97132990757624e-06,780093.3125,2321314.46875,1749.27,1746.36,1754.96,5127,11376,12154,0
"3642",442.349243164062,3.04232041041056e-08,779764,2644399.6875,743.903,740.108,745.599,2982,6612,6319,0
"3643",688.586083984375,6.44226868947347e-07,779483.875,5049044.2890625,1080.81,1062.46,1085.26,4397,9065,8656,0
"3644",973.933227539062,1.6955037911733e-05,779357.5625,2062950.53125,1771.08,1763.02,1771.08,5404,11940,12910,0
"3645",849.692687988281,6.25103712081909e-07,779108.25,6006066.15625,1602.6,1593.74,1624.75,4990,10999,11641,0
"3646",439.212926228841,7.23327199618022e-09,778467.25,4007652.25,727.502,721.599,731.842,2950,6554,6251,0
"3647",997.890808105469,8.7246298789978e-06,778252.125,2326081.625,1749.27,1746.36,1754.96,5471,12051,13046,0
"3648",793.704528808594,8.77926747004191e-06,778169,2474460.25,1448.58,1448.58,1455.53,4831,10288,10473,0
"3649",655.651695251465,3.43066640198231e-05,777811.8125,4323619.15625,1568.8,1550.15,1577.83,4208,8781,8348,0
"3650",1133.31233723958,1.60733858744303e-06,777673.375,3205754.1875,1624.75,1612.03,1627.8,5704,12321,13296,0
"3651",345.299593838778,4.66507944193753e-08,777599.6875,5805020.40625,749.257,747.563,767.606,2218,4734,4404,0
"3652",701.597005208333,1.17843349774679e-06,777322.5625,1734926.0625,1147.17,1144.13,1148.72,4462,9187,8801,0
"3653",840.772237141927,5.51144282023112e-06,777243.875,3731793.0625,1501.07,1491.81,1506.48,4969,10885,11453,0
"3654",966.91611735026,7.98826416333516e-06,777164.875,1758385.90625,1805.56,1803.2,1808.21,5392,11912,12868,0
"3655",811.524978637695,4.85219061374664e-07,776908.8125,2243965.65625,1150.81,1147.17,1156.35,4879,10515,10848,0
"3656",915.814733886719,7.25612044334412e-06,776483.75,2467465.21875,1749.27,1746.36,1756.52,5236,11606,12452,0
"3657",509.383689880371,1.0166938106219e-08,775684.5,2645522.5,436.814,433.008,438.242,3368,7550,7242,0
"3658",719.618499755859,2.5283545255661e-06,775504.5625,3608910.375,1111.27,1108.77,1122.62,4540,9367,9070,0
"3659",385.346252441406,1.24176343282064e-09,775435.125,2724861.1875,526.368,521.12,526.368,2570,5562,5240,0
"3660",369.383735656738,2.06221427236285e-09,775320.6875,5626773.6875,602.443,591.93,604.016,2435,5223,4910,0
"3661",341.157043457031,1.39698386192322e-08,774725.8125,4962880.6875,228.014,223.017,235.979,2174,4618,4282,0
"3662",400.305750528971,1.79080026490348e-08,774487.8125,17849655.8046875,319.818,267.199,349.695,2676,5845,5544,0
"3663",996.893249511719,2.56548325220744e-06,774440.3125,2358629.6875,1749.27,1749.27,1756.52,5469,12048,13041,0
"3664",818.717224121094,1.64642930030823e-05,774071,3695558.9375,1686.77,1683.72,1699.25,4896,10597,11004,0
"3665",393.290002441406,1.93901360034943e-07,772879.875,3193413.25,1888.29,1883.83,1892.88,2627,5722,5412,0
"3666",1000.91610281808,1.71448503221784e-05,772826.0625,3742189.78125,1773.18,1756.52,1775.96,5481,12064,13067,0
"3667",654.655853271484,1.79058739117214e-05,771816.3125,4246299.65625,1648.07,1633.21,1654.7,4199,8768,8340,0
"3668",629.194716020064,4.65814491887113e-07,771519.25,7899961.9765625,767.606,767.606,811.115,4051,8566,8137,0
"3669",719.620125906808,4.08469211487543e-06,771412.125,3055735,1128.18,1125.95,1141.5,4540,9367,9071,0
"3670",393.290161132812,5.43271501859029e-08,771036.625,4187914.5,1899.17,1894.58,1907.68,2627,5722,5413,0
"3671",804.754806518555,1.50843213001887e-06,770757.5625,2140380.21875,1722.72,1719.4,1728.82,4861,10427,10690,0
"3672",855.688100179036,4.49145833651225e-07,769970.3125,2443849.875,1368.38,1365.61,1383.46,5013,11080,11754,0
"3673",1064.30144391741,1.69802279699416e-06,769928.125,3168648.890625,1693.15,1686.77,1704.67,5623,12245,13232,0
"3674",834.52729288737,1.51308874289195e-06,769291.6875,2184433.609375,1125.95,1120.13,1134,4949,10816,11327,0
"3675",439.212951660156,7.45058059692383e-09,768604.5,2654523.75,745.599,741.939,747.563,2950,6554,6252,0
"3676",806.606335449219,4.75794076919556e-06,768569.625,2429768.34375,1355.72,1351.76,1364.07,4868,10453,10737,0
"3677",776.231674194336,1.52426461378733e-07,768362.625,2420003.28125,970.645,970.645,976.667,4778,10083,10141,0
"3678",506.420125325521,3.52660814921061e-08,768241.625,2612756.421875,788.412,761.582,788.412,3355,7509,7200,0
"3679",294.938764572144,2.27685837495712e-08,767898.4375,11099033.3554688,223.017,192.072,267.199,1672,3557,3218,0
"3680",698.510762532552,7.90754954020182e-07,767736.1875,2771965.328125,1250.91,1242.76,1256.51,4450,9159,8765,0
"3681",639.574157714844,3.00506750742594e-07,766988.375,5018054.171875,1440.01,1419.3,1443.18,4111,8650,8213,0
"3682",737.748280843099,1.00368351647348e-06,766831.3125,5826067.08984375,1654.7,1630.03,1663.44,4610,9578,9405,0
"3683",889.796075994318,2.39956785332073e-05,766599,5293266.90625,1738.58,1713.15,1743.72,5127,11376,12155,0
"3684",842.753044976128,2.61091109779146e-06,766581.75,4593674.34765625,1627.8,1612.03,1636.12,4975,10912,11496,0
"3685",167.033737182617,3.37604433298111e-09,766505.8125,2897461.8125,1888.29,1881.61,1890.79,307,459,342,0
