LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
CL(18:2/16:1/16:1/16:1)-H,CL,(18:2/16:1/16:1/16:1),M-H,C75 H135 O17 P2,1369.915248,27.61687,N,1,1369.914699,1369.918005,B
CL(18:1/16:1/14:0/18:2)-H,CL,(18:1/16:1/14:0/18:2),M-H,C75 H137 O17 P2,1371.932237,28.72464,N,1,1371.931688,1371.933655,B
CL(18:1/16:1/16:1/16:1)-H,CL,(18:1/16:1/16:1/16:1),M-H,C75 H137 O17 P2,1371.932874,28.164804,N,1,1371.932325,1371.933655,B
CL(17:1/16:1/18:1/16:1)-H,CL,(17:1/16:1/18:1/16:1),M-H,C76 H139 O17 P2,1385.949117,28.173883,N,1,1385.948568,1385.949305,B
CL(18:2/16:1/16:1/18:2)-H,CL,(18:2/16:1/16:1/18:2),M-H,C77 H137 O17 P2,1395.932948,27.718724,N,1,1395.932399,1395.933655,B
CL(18:2/16:1/18:1/16:1)-H,CL,(18:2/16:1/18:1/16:1),M-H,C77 H139 O17 P2,1397.948075,28.273685,N,1,1397.947526,1397.949305,B
CL(18:1/16:1/16:1/18:2)-H,CL,(18:1/16:1/16:1/18:2),M-H,C77 H139 O17 P2,1397.948285,28.830973,N,1,1397.947736,1397.949305,B
CL(18:2/16:1/18:1/18:1)-2H,CL,(18:2/16:1/18:1/18:1),M-2H,C79 H142 O17 P2,712.48681,28.435169,N,2,1424.972523,712.486664,B
GD1a(d16:0/26:1)-2H,GD1a,(d16:0/26:1),M-2H,C90 H158 O39 N4,959.524677,24.914769,N,2,1919.048257,959.525714,B
GD1a(d18:0/24:1)-2H,GD1a,(d18:0/24:1),M-2H,C90 H158 O39 N4,959.526914,24.344273,N,2,1919.052731,959.525714,B
DG(8:0/12:0)+NH4,DG,(8:0/12:0),M+NH4,C23 H48 O5 N1,418.351942,11.985458,P,1,418.3524905,418.3527005,B
DG(8:0/13:0)+NH4,DG,(8:0/13:0),M+NH4,C24 H50 O5 N1,432.368053,13.63085,P,1,432.3686015,432.3683505,B
LPE(16:0p)-H,LPE,(16:0p),M-H,C21 H43 O6 N1 P1,436.283462,9.0176,N,1,436.2829135,436.2833505,B
LPE(18:1p)-H,LPE,(18:1p),M-H,C23 H45 O6 N1 P1,462.299592,8.861213,N,1,462.2990435,462.2990005,B
LPC(14:0)+H,LPC,(14:0),M+H,C22 H47 O7 N1 P1,468.308447,5.236134,P,1,468.3089955,468.3084685,B
LPC(15:1)+H,LPC,(15:1),M+H,C23 H47 O7 N1 P1,480.308097,8.759479,P,1,480.3086455,480.3084685,B
LPC(15:0)+H,LPC,(15:0),M+H,C23 H49 O7 N1 P1,482.323888,5.77343,P,1,482.3244365,482.3241185,B
LPC(16:1)+H,LPC,(16:1),M+H,C24 H49 O7 N1 P1,494.323713,5.687669,P,1,494.3242615,494.3241185,B
LPC(16:0)+H,LPC,(16:0),M+H,C24 H51 O7 N1 P1,496.339339,7.250464,P,1,496.3398875,496.3397685,B
LPE(20:5)-H,LPE,(20:5),M-H,C25 H41 O7 N1 P1,498.262793,4.943515,N,1,498.2622445,498.2626155,B
LPE(20:1)-H,LPE,(20:1),M-H,C25 H49 O7 N1 P1,506.325095,11.24143,N,1,506.3245465,506.3252155,B
LPC(17:1)+H,LPC,(17:1),M+H,C25 H51 O7 N1 P1,508.339644,6.473274,P,1,508.3401925,508.3397685,B
LPC(18:0p)+H,LPC,(18:0p),M+H,C26 H55 O6 N1 P1,508.376326,8.785646,P,1,508.3768745,508.3761535,B
Cer(d18:2/14:0)+H,Cer,(d18:2/14:0),M+H,C32 H62 O3 N1,508.472778,17.716569,P,1,508.4733265,508.4724205,B
LPG(18:1)-H,LPG,(18:1),M-H,C24 H46 O9 N0 P1,509.288632,7.238593,N,1,509.2880835,509.2884965,B
LPC(18:3)+H,LPC,(18:3),M+H,C26 H49 O7 N1 P1,518.321117,6.82296,P,1,518.3216655,518.3241185,B
LPC(18:2)+H,LPC,(18:2),M+H,C26 H51 O7 N1 P1,520.339291,5.988003,P,1,520.3398395,520.3397685,B
LPS(18:1)-H,LPS,(18:1),M-H,C24 H45 O9 N1 P1,522.28405,6.771468,N,1,522.2835015,522.2837455,B
LPC(18:1)+H,LPC,(18:1),M+H,C26 H53 O7 N1 P1,522.355287,7.377102,P,1,522.3558355,522.3554185,B
LPS(18:0)-H,LPS,(18:0),M-H,C24 H47 O9 N1 P1,524.299669,9.643253,N,1,524.2991205,524.2993955,B
LPC(18:0)+H,LPC,(18:0),M+H,C26 H55 O7 N1 P1,524.370579,11.029635,P,1,524.3711275,524.3710685,B
LPS(18:0)+H,LPS,(18:0),M+H,C24 H49 O9 N1 P1,526.313876,9.043113,P,1,526.3144245,526.3139485,B
LPC(20:0p)+H,LPC,(20:0p),M+H,C28 H59 O6 N1 P1,536.407291,14.405576,P,1,536.4078395,536.4074535,B
LPC(20:4)+H,LPC,(20:4),M+H,C28 H51 O7 N1 P1,544.339592,5.606474,P,1,544.3401405,544.3397685,B
LPC(20:3)+H,LPC,(20:3),M+H,C28 H53 O7 N1 P1,546.355438,6.748318,P,1,546.3559865,546.3554185,B
LPC(20:2)+H,LPC,(20:2),M+H,C28 H55 O7 N1 P1,548.370852,7.788712,P,1,548.3714005,548.3710685,B
LPC(20:1)+H,LPC,(20:1),M+H,C28 H57 O7 N1 P1,550.386553,10.856537,P,1,550.3871015,550.3867185,B
LPC(20:0)+H,LPC,(20:0),M+H,C28 H59 O7 N1 P1,552.40107,13.541934,P,1,552.4016185,552.4023685,B
LPC(22:6)+H,LPC,(22:6),M+H,C30 H51 O7 N1 P1,568.339284,5.536432,P,1,568.3398325,568.3397685,B
LPC(22:1)+H,LPC,(22:1),M+H,C30 H61 O7 N1 P1,578.417787,13.833534,P,1,578.4183355,578.4180185,B
LPC(22:0)+H,LPC,(22:0),M+H,C30 H63 O7 N1 P1,580.433376,15.652326,P,1,580.4339245,580.4336685,B
LPC(24:1)+H,LPC,(24:1),M+H,C32 H65 O7 N1 P1,606.449145,15.869039,P,1,606.4496935,606.4493185,B
LPC(24:0)+H,LPC,(24:0),M+H,C32 H67 O7 N1 P1,608.463998,18.201267,P,1,608.4645465,608.4649685,B
DG(16:0/20:3)+H,DG,(16:0/20:3),M+H,C39 H71 O5,619.526442,25.843467,P,1,619.5269905,619.5296015,B
Cer(d18:2/22:0)+H,Cer,(d18:2/22:0),M+H,C40 H78 O3 N1,620.597263,25.525685,P,1,620.5978115,620.5976205,B
LPC(26:1)+H,LPC,(26:1),M+H,C34 H69 O7 N1 P1,634.47982,17.439202,P,1,634.4803685,634.4806185,B
ChE(16:1)+NH4,ChE,(16:1),M+NH4,C43 H78 O2 N1,640.601978,29.695348,P,1,640.6025265,640.6027055,B
LPC(28:0)+H,LPC,(28:0),M+H,C36 H75 O7 N1 P1,664.527596,18.707595,P,1,664.5281445,664.5275685,B
ChE(18:2)+NH4,ChE,(18:2),M+NH4,C45 H80 O2 N1,666.616934,29.091062,P,1,666.6174825,666.6183555,B
ChE(18:1)+NH4,ChE,(18:1),M+NH4,C45 H82 O2 N1,668.633267,29.479544,P,1,668.6338155,668.6340055,B
DG(18:0/20:0)+NH4,DG,(18:0/20:0),M+NH4,C41 H84 O5 N1,670.633757,27.99078,P,1,670.6343055,670.6344005,B
PE(16:0p/16:1)+H,PE,(16:0p/16:1),M+H,C37 H73 O7 N1 P1,674.511592,21.193275,P,1,674.5121405,674.5119185,B
PE(16:0p/16:0)+H,PE,(16:0p/16:0),M+H,C37 H75 O7 N1 P1,676.526996,23.054305,P,1,676.5275445,676.5275685,B
PE(16:0p/17:1)+H,PE,(16:0p/17:1),M+H,C38 H75 O7 N1 P1,688.52664,22.358251,P,1,688.5271885,688.5275685,B
ChE(20:5)+NH4,ChE,(20:5),M+NH4,C47 H78 O2 N1,688.602413,28.588255,P,1,688.6029615,688.6027055,B
ChE(20:4)+NH4,ChE,(20:4),M+NH4,C47 H80 O2 N1,690.617756,28.932937,P,1,690.6183045,690.6183555,B
ChE(20:3)+NH4,ChE,(20:3),M+NH4,C47 H82 O2 N1,692.63303,29.298394,P,1,692.6335785,692.6340055,B
ChE(20:1)+NH4,ChE,(20:1),M+NH4,C47 H86 O2 N1,696.664292,29.932715,P,1,696.6648405,696.6653055,B
CerG1(d16:0/18:1)-H,CerG1,(d16:0/18:1),M-H,C40 H76 O8 N1,698.558276,20.049887,N,1,698.5577275,698.5576425,B
PE(16:0p/18:2)+H,PE,(16:0p/18:2),M+H,C39 H75 O7 N1 P1,700.525518,22.162123,P,1,700.5260665,700.5275685,B
PE(18:1p/16:1)+H,PE,(18:1p/16:1),M+H,C39 H75 O7 N1 P1,700.527132,21.63754,P,1,700.5276805,700.5275685,B
PE(16:0p/18:1)+H,PE,(16:0p/18:1),M+H,C39 H77 O7 N1 P1,702.542322,22.690178,P,1,702.5428705,702.5432185,B
