LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
MG(16:0)+H,MG,(16:0),M+H,C19 H39 O4,331.283841,11.04598,P,1,331.2843895,331.2842865,C
MG(18:1)+H,MG,(18:1),M+H,C21 H41 O4,357.29948,11.367347,P,1,357.3000285,357.2999365,C
DG(10:0p/8:0)+NH4,DG,(10:0p/8:0),M+NH4,C21 H44 O4 N1,374.325984,12.038635,P,1,374.3265325,374.3264855,C
PE(8:0p/8:0)+H,PE,(8:0p/8:0),M+H,C21 H43 O7 N1 P1,452.276847,5.78809,P,1,452.2773955,452.2771685,C
PE(8:0e/8:0)+H,PE,(8:0e/8:0),M+H,C21 H45 O7 N1 P1,454.292343,7.987687,P,1,454.2928915,454.2928185,C
PE(8:0p/10:0)+H,PE,(8:0p/10:0),M+H,C23 H47 O7 N1 P1,480.308124,7.612779,P,1,480.3086725,480.3084685,C
PE(8:0e/10:0)+H,PE,(8:0e/10:0),M+H,C23 H49 O7 N1 P1,482.323767,11.299507,P,1,482.3243155,482.3241185,C
PE(8:0p/12:0)+H,PE,(8:0p/12:0),M+H,C25 H51 O7 N1 P1,508.339731,11.233918,P,1,508.3402795,508.3397685,C
DG(16:1p/16:0)+H,DG,(16:1p/16:0),M+H,C35 H67 O4,551.500506,24.194301,P,1,551.5010545,551.5033865,C
MG(32:0)+H,MG,(32:0),M+H,C35 H71 O4,555.53385,25.737847,P,1,555.5343985,555.5346865,C
MG(32:1)+NH4,MG,(32:1),M+NH4,C35 H72 O4 N1,570.54473,24.097444,P,1,570.5452785,570.5455855,C
MG(32:0)+NH4,MG,(32:0),M+NH4,C35 H74 O4 N1,572.561115,26.002779,P,1,572.5616635,572.5612355,C
MG(34:3)+H,MG,(34:3),M+H,C37 H69 O4,577.515859,24.10198,P,1,577.5164075,577.5190365,C
DG(16:1p/18:1)+H,DG,(16:1p/18:1),M+H,C37 H69 O4,577.516421,24.136857,P,1,577.5169695,577.5190365,C
MG(34:1)+H,MG,(34:1),M+H,C37 H73 O4,581.549717,25.728837,P,1,581.5502655,581.5503365,C
MG(34:0)+H,MG,(34:0),M+H,C37 H75 O4,583.565872,27.014207,P,1,583.5664205,583.5659865,C
DG(16:0p/18:1)+NH4,DG,(16:0p/18:1),M+NH4,C37 H74 O4 N1,596.560298,23.72722,P,1,596.5608465,596.5612355,C
DG(18:0p/16:0)+NH4,DG,(18:0p/16:0),M+NH4,C37 H76 O4 N1,598.576111,25.234712,P,1,598.5766595,598.5768855,C
MG(34:1)+NH4,MG,(34:1),M+NH4,C37 H76 O4 N1,598.576257,25.784044,P,1,598.5768055,598.5768855,C
MG(34:0)+NH4,MG,(34:0),M+NH4,C37 H78 O4 N1,600.591987,27.409003,P,1,600.5925355,600.5925355,C
DG(18:2p/18:1)+H,DG,(18:2p/18:1),M+H,C39 H71 O4,603.529916,24.141376,P,1,603.5304645,603.5346865,C
DG(18:1p/18:0)+H,DG,(18:1p/18:0),M+H,C39 H75 O4,607.563119,27.016465,P,1,607.5636675,607.5659865,C
DG(18:0p/18:1)+NH4,DG,(18:0p/18:1),M+NH4,C39 H78 O4 N1,624.591416,25.236972,P,1,624.5919645,624.5925355,C
MG(36:1)+NH4,MG,(36:1),M+NH4,C39 H80 O4 N1,626.607438,27.268063,P,1,626.6079865,626.6081855,C
SM(d12:0/18:1)+H,SM,(d12:0/18:1),M+H,C35 H72 O6 N2 P1,647.511113,15.997487,P,1,647.5116615,647.5122525,C
PC(16:0/10:0)+H,PC,(16:0/10:0),M+H,C34 H69 O8 N1 P1,650.475454,15.87902,P,1,650.4760025,650.4755335,C
SM(d13:0/18:1)+H,SM,(d13:0/18:1),M+H,C36 H74 O6 N2 P1,661.527103,17.471048,P,1,661.5276515,661.5279025,C
SM(d14:1/18:1)+H,SM,(d14:1/18:1),M+H,C37 H74 O6 N2 P1,673.527337,16.488708,P,1,673.5278855,673.5279025,C
SM(d16:1/16:0)+H,SM,(d16:1/16:0),M+H,C37 H76 O6 N2 P1,675.542538,18.21694,P,1,675.5430865,675.5435525,C
PC(16:1/12:0)+H,PC,(16:1/12:0),M+H,C36 H71 O8 N1 P1,676.49055,16.541731,P,1,676.4910985,676.4911835,C
PC(16:0/12:0)+H,PC,(16:0/12:0),M+H,C36 H73 O8 N1 P1,678.505856,17.670702,P,1,678.5064045,678.5068335,C
SM(d15:0/18:1)+H,SM,(d15:0/18:1),M+H,C38 H78 O6 N2 P1,689.557817,19.170574,P,1,689.5583655,689.5592025,C
PC(16:1/13:0)+H,PC,(16:1/13:0),M+H,C37 H73 O8 N1 P1,690.505773,20.509833,P,1,690.5063215,690.5068335,C
PC(14:0e/16:0)+H,PC,(14:0e/16:0),M+H,C38 H79 O7 N1 P1,692.557928,21.038466,P,1,692.5584765,692.5588685,C
SM(d16:0/18:4)+H,SM,(d16:0/18:4),M+H,C39 H74 O6 N2 P1,697.524112,17.781212,P,1,697.5246605,697.5279025,C
SM(d16:0/18:3)+H,SM,(d16:0/18:3),M+H,C39 H76 O6 N2 P1,699.542287,16.925641,P,1,699.5428355,699.5435525,C
PC(8:0/22:3)+H,PC,(8:0/22:3),M+H,C38 H71 O8 N1 P1,700.489815,15.692828,P,1,700.4903635,700.4911835,C
SM(d16:1/18:1)+H,SM,(d16:1/18:1),M+H,C39 H78 O6 N2 P1,701.557953,18.416532,P,1,701.5585015,701.5592025,C
PC(12:0/18:2)+H,PC,(12:0/18:2),M+H,C38 H73 O8 N1 P1,702.505889,16.732414,P,1,702.5064375,702.5068335,C
SM(d16:0/18:1)+H,SM,(d16:0/18:1),M+H,C39 H80 O6 N2 P1,703.573886,19.997093,P,1,703.5744345,703.5748525,C
PC(16:1/14:0)+H,PC,(16:1/14:0),M+H,C38 H75 O8 N1 P1,704.521228,18.827857,P,1,704.5217765,704.5224835,C
SM(d16:0/18:0)+H,SM,(d16:0/18:0),M+H,C39 H82 O6 N2 P1,705.589707,21.8603,P,1,705.5902555,705.5905025,C
PC(15:1/16:2)+H,PC,(15:1/16:2),M+H,C39 H73 O8 N1 P1,714.505596,16.741456,P,1,714.5061445,714.5068335,C
PC(16:1/15:1)+H,PC,(16:1/15:1),M+H,C39 H75 O8 N1 P1,716.522077,17.169383,P,1,716.5226255,716.5224835,C
SM(d14:1/18:1)+HCOO,SM,(d14:1/18:1),M+HCOO,C38 H74 O8 N2 P1,717.51934,16.02292,N,1,717.5187915,717.5188295,C
PC(16:0/15:1)+H,PC,(16:0/15:1),M+H,C39 H77 O8 N1 P1,718.536823,22.261171,P,1,718.5373715,718.5381335,C
PC(16:0e/16:1)+H,PC,(16:0e/16:1),M+H,C40 H81 O7 N1 P1,718.572856,20.915393,P,1,718.5734045,718.5745185,C
PC(16:0/15:0)+H,PC,(16:0/15:0),M+H,C39 H79 O8 N1 P1,720.552924,20.546837,P,1,720.5534725,720.5537835,C
PC(16:0e/16:0)+H,PC,(16:0e/16:0),M+H,C40 H83 O7 N1 P1,720.589006,22.77933,P,1,720.5895545,720.5901685,C
SM(d16:0/20:5)+H,SM,(d16:0/20:5),M+H,C41 H76 O6 N2 P1,723.53906,17.906271,P,1,723.5396085,723.5435525,C
PC(12:0/20:4)+H,PC,(12:0/20:4),M+H,C40 H73 O8 N1 P1,726.506129,16.767443,P,1,726.5066775,726.5068335,C
PC(16:1/16:2)+H,PC,(16:1/16:2),M+H,C40 H75 O8 N1 P1,728.521337,17.811604,P,1,728.5218855,728.5224835,C
SM(d18:1/18:1)+H,SM,(d18:1/18:1),M+H,C41 H82 O6 N2 P1,729.589378,20.088228,P,1,729.5899265,729.5905025,C
PC(16:1/16:1)+H,PC,(16:1/16:1),M+H,C40 H77 O8 N1 P1,730.536829,18.497523,P,1,730.5373775,730.5381335,C
SM(d18:1/18:0)+H,SM,(d18:1/18:0),M+H,C41 H84 O6 N2 P1,731.605178,21.94715,P,1,731.6057265,731.6061525,C
PC(16:0/16:1)+H,PC,(16:0/16:1),M+H,C40 H79 O8 N1 P1,732.552687,23.269976,P,1,732.5532355,732.5537835,C
PC(16:0/16:0)+H,PC,(16:0/16:0),M+H,C40 H81 O8 N1 P1,734.56819,22.702938,P,1,734.5687385,734.5694335,C
PC(16:0e/17:0)+H,PC,(16:0e/17:0),M+H,C41 H85 O7 N1 P1,734.605186,23.883736,P,1,734.6057345,734.6058185,C
PC(13:0/20:5)+H,PC,(13:0/20:5),M+H,C41 H73 O8 N1 P1,738.50166,18.219725,P,1,738.5022085,738.5068335,C
PC(13:0/20:4)+H,PC,(13:0/20:4),M+H,C41 H75 O8 N1 P1,740.521651,17.259729,P,1,740.5221995,740.5224835,C
PC(15:1/18:2)+H,PC,(15:1/18:2),M+H,C41 H77 O8 N1 P1,742.536265,18.079923,P,1,742.5368135,742.5381335,C
PC(15:0/18:2)+H,PC,(15:0/18:2),M+H,C41 H79 O8 N1 P1,744.552903,22.133554,P,1,744.5534515,744.5537835,C
PC(16:0/17:1)+H,PC,(16:0/17:1),M+H,C41 H81 O8 N1 P1,746.568831,24.042286,P,1,746.5693795,746.5694335,C
PC(16:0e/18:1)+H,PC,(16:0e/18:1),M+H,C42 H85 O7 N1 P1,746.604158,22.672713,P,1,746.6047065,746.6058185,C
PC(18:0e/16:0)+H,PC,(18:0e/16:0),M+H,C42 H87 O7 N1 P1,748.62008,25.089362,P,1,748.6206285,748.6214685,C
PC(16:2/18:3)+H,PC,(16:2/18:3),M+H,C42 H75 O8 N1 P1,752.519929,19.096403,P,1,752.5204775,752.5224835,C
PC(16:1/18:3)+H,PC,(16:1/18:3),M+H,C42 H77 O8 N1 P1,754.536969,17.774448,P,1,754.5375175,754.5381335,C
PC(16:1/18:2)+H,PC,(16:1/18:2),M+H,C42 H79 O8 N1 P1,756.552286,18.303034,P,1,756.5528345,756.5537835,C
PC(16:0/18:2)+H,PC,(16:0/18:2),M+H,C42 H81 O8 N1 P1,758.567992,20.429066,P,1,758.5685405,758.5694335,C
PC(16:0p/19:1)+H,PC,(16:0p/19:1),M+H,C43 H85 O7 N1 P1,758.601907,25.484381,P,1,758.6024555,758.6058185,C
SM(d20:0/18:1)+H,SM,(d20:0/18:1),M+H,C43 H88 O6 N2 P1,759.635947,23.309315,P,1,759.6364955,759.6374525,C
PC(16:0/18:1)+H,PC,(16:0/18:1),M+H,C42 H83 O8 N1 P1,760.58438,28.433186,P,1,760.5849285,760.5850835,C
PC(18:0/16:0)+H,PC,(18:0/16:0),M+H,C42 H85 O8 N1 P1,762.599376,22.920509,P,1,762.5999245,762.6007335,C
PC(15:1/20:4)+H,PC,(15:1/20:4),M+H,C43 H77 O8 N1 P1,766.537249,20.555941,P,1,766.5377975,766.5381335,C
PC(15:0/20:4)+H,PC,(15:0/20:4),M+H,C43 H79 O8 N1 P1,768.552412,21.888217,P,1,768.5529605,768.5537835,C
PC(17:1/18:2)+H,PC,(17:1/18:2),M+H,C43 H81 O8 N1 P1,770.568892,23.105375,P,1,770.5694405,770.5694335,C
PC(16:1/19:1)+H,PC,(16:1/19:1),M+H,C43 H83 O8 N1 P1,772.583425,20.295451,P,1,772.5839735,772.5850835,C
PC(18:0e/18:2)+H,PC,(18:0e/18:2),M+H,C44 H87 O7 N1 P1,772.619948,22.577019,P,1,772.6204965,772.6214685,C
PC(16:0/19:1)+H,PC,(16:0/19:1),M+H,C43 H85 O8 N1 P1,774.599991,22.38134,P,1,774.6005395,774.6007335,C
PC(18:0e/18:1)+H,PC,(18:0e/18:1),M+H,C44 H89 O7 N1 P1,774.635551,24.45468,P,1,774.6360995,774.6371185,C
PC(16:0/19:0)+H,PC,(16:0/19:0),M+H,C43 H87 O8 N1 P1,776.614564,23.722634,P,1,776.6151125,776.6163835,C
PC(16:0e/20:0)+H,PC,(16:0e/20:0),M+H,C44 H91 O7 N1 P1,776.651465,26.380558,P,1,776.6520135,776.6527685,C
PC(16:1/20:5)+H,PC,(16:1/20:5),M+H,C44 H77 O8 N1 P1,778.536965,17.248439,P,1,778.5375135,778.5381335,C
PC(16:1/20:4)+H,PC,(16:1/20:4),M+H,C44 H79 O8 N1 P1,780.552091,18.832409,P,1,780.5526395,780.5537835,C
PC(16:0/20:4)+H,PC,(16:0/20:4),M+H,C44 H81 O8 N1 P1,782.567686,19.362584,P,1,782.5682345,782.5694335,C
PC(18:1/18:2)+H,PC,(18:1/18:2),M+H,C44 H83 O8 N1 P1,784.582847,19.916249,P,1,784.5833955,784.5850835,C
SM(d16:0/24:2)+H,SM,(d16:0/24:2),M+H,C45 H90 O6 N2 P1,785.651754,23.548674,P,1,785.6523025,785.6531025,C
PC(18:0/18:2)+H,PC,(18:0/18:2),M+H,C44 H85 O8 N1 P1,786.59891,21.4713,P,1,786.5994585,786.6007335,C
SM(d16:0/24:1)+H,SM,(d16:0/24:1),M+H,C45 H92 O6 N2 P1,787.667601,25.142299,P,1,787.6681495,787.6687525,C
PC(18:0/18:1)+H,PC,(18:0/18:1),M+H,C44 H87 O8 N1 P1,788.614835,23.015646,P,1,788.6153835,788.6163835,C
PS(20:0/16:1)+H,PS,(20:0/16:1),M+H,C42 H81 O10 N1 P1,790.557845,27.977207,P,1,790.5583935,790.5592635,C
PC(15:0/22:6)+H,PC,(15:0/22:6),M+H,C45 H79 O8 N1 P1,792.552414,20.466054,P,1,792.5529625,792.5537835,C
PC(17:1/20:4)+H,PC,(17:1/20:4),M+H,C45 H81 O8 N1 P1,794.567471,22.072338,P,1,794.5680195,794.5694335,C
PC(18:0p/20:4)+H,PC,(18:0p/20:4),M+H,C46 H85 O7 N1 P1,794.603173,21.040741,P,1,794.6037215,794.6058185,C
PC(17:0/20:4)+H,PC,(17:0/20:4),M+H,C45 H83 O8 N1 P1,796.583822,23.502507,P,1,796.5843705,796.5850835,C
PS(17:1/20:2)-H,PS,(17:1/20:2),M-H,C43 H77 O10 N1 P1,798.525809,20.484553,N,1,798.5252605,798.5290605,C
PC(19:1/18:2)+H,PC,(19:1/18:2),M+H,C45 H85 O8 N1 P1,798.59808,21.701019,P,1,798.5986285,798.6007335,C
PC(16:0e/22:3)+H,PC,(16:0e/22:3),M+H,C46 H89 O7 N1 P1,798.635257,23.423972,P,1,798.6358055,798.6371185,C
SM(d16:0/25:2)+H,SM,(d16:0/25:2),M+H,C46 H92 O6 N2 P1,799.667967,24.235991,P,1,799.6685155,799.6687525,C
PC(19:0/18:2)+H,PC,(19:0/18:2),M+H,C45 H87 O8 N1 P1,800.614699,22.339792,P,1,800.6152475,800.6163835,C
PC(16:0e/22:2)+H,PC,(16:0e/22:2),M+H,C46 H91 O7 N1 P1,800.651847,25.532846,P,1,800.6523955,800.6527685,C
SM(d16:0/25:1)+H,SM,(d16:0/25:1),M+H,C46 H94 O6 N2 P1,801.683283,25.843879,P,1,801.6838315,801.6844025,C
PC(18:0/19:1)+H,PC,(18:0/19:1),M+H,C45 H89 O8 N1 P1,802.630491,23.994086,P,1,802.6310395,802.6320335,C
PC(16:1/22:6)+H,PC,(16:1/22:6),M+H,C46 H79 O8 N1 P1,804.552009,17.897244,P,1,804.5525575,804.5537835,C
PC(16:0e/22:0)+H,PC,(16:0e/22:0),M+H,C46 H95 O7 N1 P1,804.68229,27.736576,P,1,804.6828385,804.6840685,C
PC(16:0/22:6)+H,PC,(16:0/22:6),M+H,C46 H81 O8 N1 P1,806.568075,18.93225,P,1,806.5686235,806.5694335,C
PC(18:1/20:4)+H,PC,(18:1/20:4),M+H,C46 H83 O8 N1 P1,808.583072,19.469197,P,1,808.5836205,808.5850835,C
SM(d16:0/26:3)+H,SM,(d16:0/26:3),M+H,C47 H92 O6 N2 P1,811.66709,23.463236,P,1,811.6676385,811.6687525,C
PC(20:1/18:2)+H,PC,(20:1/18:2),M+H,C46 H87 O8 N1 P1,812.614193,21.601319,P,1,812.6147415,812.6163835,C
PE(18:0p/24:2)+H,PE,(18:0p/24:2),M+H,C47 H91 O7 N1 P1,812.654265,28.122897,P,1,812.6548135,812.6527685,C
SM(d16:0/26:2)+H,SM,(d16:0/26:2),M+H,C47 H94 O6 N2 P1,813.683047,25.034229,P,1,813.6835955,813.6844025,C
PC(20:0/18:2)+H,PC,(20:0/18:2),M+H,C46 H89 O8 N1 P1,814.630483,23.212486,P,1,814.6310315,814.6320335,C
SM(d16:0/26:1)+H,SM,(d16:0/26:1),M+H,C47 H96 O6 N2 P1,815.69888,26.641183,P,1,815.6994285,815.7000525,C
PC(17:1/22:6)+H,PC,(17:1/22:6),M+H,C47 H81 O8 N1 P1,818.566926,18.188827,P,1,818.5674745,818.5694335,C
PC(18:0p/22:6)+H,PC,(18:0p/22:6),M+H,C48 H85 O7 N1 P1,818.601357,19.969166,P,1,818.6019055,818.6058185,C
PC(17:0/22:6)+H,PC,(17:0/22:6),M+H,C47 H83 O8 N1 P1,820.584125,18.906525,P,1,820.5846735,820.5850835,C
PC(18:0e/22:6)+H,PC,(18:0e/22:6),M+H,C48 H87 O7 N1 P1,820.619514,20.470574,P,1,820.6200625,820.6214685,C
PC(19:1/20:4)+H,PC,(19:1/20:4),M+H,C47 H85 O8 N1 P1,822.599081,23.17313,P,1,822.5996295,822.6007335,C
PC(18:0e/22:5)+H,PC,(18:0e/22:5),M+H,C48 H89 O7 N1 P1,822.632976,22.64025,P,1,822.6335245,822.6371185,C
PC(16:1p/24:2)+H,PC,(16:1p/24:2),M+H,C48 H91 O7 N1 P1,824.652365,24.05133,P,1,824.6529135,824.6527685,C
PC(18:4/22:6)+H,PC,(18:4/22:6),M+H,C48 H77 O8 N1 P1,826.534637,17.994346,P,1,826.5351855,826.5381335,C
PC(15:1/24:2)+H,PC,(15:1/24:2),M+H,C47 H89 O8 N1 P1,826.629565,22.228783,P,1,826.6301135,826.6320335,C
PC(16:0p/24:2)+H,PC,(16:0p/24:2),M+H,C48 H93 O7 N1 P1,826.664767,24.659581,P,1,826.6653155,826.6684185,C
SM(d16:0/27:2)+H,SM,(d16:0/27:2),M+H,C48 H96 O6 N2 P1,827.698663,26.000518,P,1,827.6992115,827.7000525,C
PC(16:2/24:7)+H,PC,(16:2/24:7),M+H,C48 H79 O8 N1 P1,828.551512,17.29705,P,1,828.5520605,828.5537835,C
PC(20:1/19:1)+H,PC,(20:1/19:1),M+H,C47 H91 O8 N1 P1,828.645808,24.401639,P,1,828.6463565,828.6476835,C
PC(16:1/24:7)+H,PC,(16:1/24:7),M+H,C48 H81 O8 N1 P1,830.567355,17.952656,P,1,830.5679035,830.5694335,C
PC(20:0/19:1)+H,PC,(20:0/19:1),M+H,C47 H93 O8 N1 P1,830.661374,27.406742,P,1,830.6619225,830.6633335,C
PC(18:0e/22:1)+H,PC,(18:0e/22:1),M+H,C48 H97 O7 N1 P1,830.69696,26.802269,P,1,830.6975085,830.6997185,C
PC(18:1/22:6)+H,PC,(18:1/22:6),M+H,C48 H83 O8 N1 P1,832.583522,19.045611,P,1,832.5840705,832.5850835,C
PC(18:0/22:6)+H,PC,(18:0/22:6),M+H,C48 H85 O8 N1 P1,834.599302,20.085951,P,1,834.5998505,834.6007335,C
SM(d16:0/28:5)+H,SM,(d16:0/28:5),M+H,C49 H92 O6 N2 P1,835.664488,24.521243,P,1,835.6650365,835.6687525,C
PC(20:1/20:4)+H,PC,(20:1/20:4),M+H,C48 H87 O8 N1 P1,836.61415,21.133608,P,1,836.6146985,836.6163835,C
PMe(26:6/20:4)-H,PMe,(26:6/20:4),M-H,C50 H78 O8 N0 P1,837.548329,20.530624,N,1,837.5477805,837.5439815,C
PC(20:0/20:4)+H,PC,(20:0/20:4),M+H,C48 H89 O8 N1 P1,838.629931,22.7377,P,1,838.6304795,838.6320335,C
SM(d16:0/28:3)+H,SM,(d16:0/28:3),M+H,C49 H96 O6 N2 P1,839.69895,24.854112,P,1,839.6994985,839.7000525,C
PC(16:1/24:2)+H,PC,(16:1/24:2),M+H,C48 H91 O8 N1 P1,840.646072,23.821676,P,1,840.6466205,840.6476835,C
SM(d16:0/28:2)+H,SM,(d16:0/28:2),M+H,C49 H98 O6 N2 P1,841.714311,26.48444,P,1,841.7148595,841.7157025,C
PC(16:0/24:2)+H,PC,(16:0/24:2),M+H,C48 H93 O8 N1 P1,842.661524,24.895708,P,1,842.6620725,842.6633335,C
PC(18:0/22:1)+H,PC,(18:0/22:1),M+H,C48 H95 O8 N1 P1,844.677155,27.002873,P,1,844.6777035,844.6789835,C
PC(16:0/24:0)+H,PC,(16:0/24:0),M+H,C48 H97 O8 N1 P1,846.693344,28.069747,P,1,846.6938925,846.6946335,C
PC(18:2p/24:2)+H,PC,(18:2p/24:2),M+H,C50 H93 O7 N1 P1,850.666524,24.41523,P,1,850.6670725,850.6684185,C
PC(20:5/22:6)+H,PC,(20:5/22:6),M+H,C50 H79 O8 N1 P1,852.558616,18.589942,P,1,852.5591645,852.5537835,C
PC(19:0/22:4)+H,PC,(19:0/22:4),M+H,C49 H91 O8 N1 P1,852.645728,22.952978,P,1,852.6462765,852.6476835,C
PC(18:1p/24:2)+H,PC,(18:1p/24:2),M+H,C50 H95 O7 N1 P1,852.681298,24.84956,P,1,852.6818465,852.6840685,C
PC(20:4/22:6)+H,PC,(20:4/22:6),M+H,C50 H81 O8 N1 P1,854.567078,17.862306,P,1,854.5676265,854.5694335,C
PC(17:1/24:2)+H,PC,(17:1/24:2),M+H,C49 H93 O8 N1 P1,854.661192,24.192041,P,1,854.6617405,854.6633335,C
PC(18:0p/24:2)+H,PC,(18:0p/24:2),M+H,C50 H97 O7 N1 P1,854.698647,26.009606,P,1,854.6991955,854.6997185,C
SM(d16:0/26:3)+HCOO,SM,(d16:0/26:3),M+HCOO,C48 H92 O8 N2 P1,855.659834,24.067643,N,1,855.6592855,855.6596795,C
PC(20:3/22:6)+H,PC,(20:3/22:6),M+H,C50 H83 O8 N1 P1,856.583384,18.377257,P,1,856.5839325,856.5850835,C
PC(17:0/24:2)+H,PC,(17:0/24:2),M+H,C49 H95 O8 N1 P1,856.675792,25.638739,P,1,856.6763405,856.6789835,C
PC(18:0e/24:2)+H,PC,(18:0e/24:2),M+H,C50 H99 O7 N1 P1,856.711861,27.011946,P,1,856.7124095,856.7153685,C
SM(d18:1/24:1)+HCOO,SM,(d18:1/24:1),M+HCOO,C48 H94 O8 N2 P1,857.675498,24.632078,N,1,857.6749495,857.6753295,C
SM(d16:0/26:2)+HCOO,SM,(d16:0/26:2),M+HCOO,C48 H94 O8 N2 P1,857.675739,25.167772,N,1,857.6751905,857.6753295,C
PC(18:1/24:7)+H,PC,(18:1/24:7),M+H,C50 H85 O8 N1 P1,858.597743,19.471474,P,1,858.5982915,858.6007335,C
PC(18:0e/24:1)+H,PC,(18:0e/24:1),M+H,C50 H101 O7 N1 P1,858.725271,28.245474,P,1,858.7258195,858.7310185,C
SM(d16:0/26:1)+HCOO,SM,(d16:0/26:1),M+HCOO,C48 H96 O8 N2 P1,859.69194,26.403731,N,1,859.6913915,859.6909795,C
PC(20:1/22:6)+H,PC,(20:1/22:6),M+H,C50 H87 O8 N1 P1,860.614212,20.553666,P,1,860.6147605,860.6163835,C
DG(34:2/18:1)+NH4,DG,(34:2/18:1),M+NH4,C55 H106 O5 N1,860.804423,29.279208,P,1,860.8049715,860.8065505,C
PS(26:6/16:0)-H,PS,(26:6/16:0),M-H,C48 H81 O10 N1 P1,862.554487,21.622127,N,1,862.5539385,862.5603605,C
PC(20:0/22:6)+H,PC,(20:0/22:6),M+H,C50 H89 O8 N1 P1,862.630456,22.070063,P,1,862.6310045,862.6320335,C
PC(20:0/22:5)+H,PC,(20:0/22:5),M+H,C50 H91 O8 N1 P1,864.646724,23.131023,P,1,864.6472725,864.6476835,C
PC(20:0/22:4)+H,PC,(20:0/22:4),M+H,C50 H93 O8 N1 P1,866.661784,24.189766,P,1,866.6623325,866.6633335,C
PC(18:1/24:2)+H,PC,(18:1/24:2),M+H,C50 H95 O8 N1 P1,868.677322,24.740474,P,1,868.6778705,868.6789835,C
PC(20:0e/23:3)+H,PC,(20:0e/23:3),M+H,C51 H99 O7 N1 P1,868.715533,27.836088,P,1,868.7160815,868.7153685,C
PC(18:0/24:2)+H,PC,(18:0/24:2),M+H,C50 H97 O8 N1 P1,870.693404,26.318536,P,1,870.6939525,870.6946335,C
SM(d16:0/27:2)+HCOO,SM,(d16:0/27:2),M+HCOO,C49 H96 O8 N2 P1,871.696206,25.92906,N,1,871.6956575,871.6909795,C
PC(18:0/24:1)+H,PC,(18:0/24:1),M+H,C50 H99 O8 N1 P1,872.708472,27.404467,P,1,872.7090205,872.7102835,C
PC(18:0/24:0)+H,PC,(18:0/24:0),M+H,C50 H101 O8 N1 P1,874.722178,28.032465,P,1,874.7227265,874.7259335,C
PC(22:6/22:6)+H,PC,(22:6/22:6),M+H,C52 H81 O8 N1 P1,878.568389,17.389756,P,1,878.5689375,878.5694335,C
PC(22:5/22:6)+H,PC,(22:5/22:6),M+H,C52 H83 O8 N1 P1,880.58257,17.957225,P,1,880.5831185,880.5850835,C
PC(20:1p/24:2)+H,PC,(20:1p/24:2),M+H,C52 H99 O7 N1 P1,880.716472,27.921936,P,1,880.7170205,880.7153685,C
PC(22:4/22:6)+H,PC,(22:4/22:6),M+H,C52 H85 O8 N1 P1,882.599309,18.502044,P,1,882.5998575,882.6007335,C
PC(19:0/24:2)+H,PC,(19:0/24:2),M+H,C51 H99 O8 N1 P1,884.707748,26.541981,P,1,884.7082965,884.7102835,C
DG(38:5/16:0)+NH4,DG,(38:5/16:0),M+NH4,C57 H106 O5 N1,884.802724,29.169778,P,1,884.8032725,884.8065505,C
DG(36:3/18:1)+NH4,DG,(36:3/18:1),M+NH4,C57 H108 O5 N1,886.820093,29.433312,P,1,886.8206415,886.8222005,C
PC(20:0/24:7)+H,PC,(20:0/24:7),M+H,C52 H91 O8 N1 P1,888.645567,22.681819,P,1,888.6461155,888.6476835,C
PC(24:1/20:4)+H,PC,(24:1/20:4),M+H,C52 H95 O8 N1 P1,892.67692,24.104272,P,1,892.6774685,892.6789835,C
PC(24:0/20:4)+H,PC,(24:0/20:4),M+H,C52 H97 O8 N1 P1,894.692399,25.239264,P,1,894.6929475,894.6946335,C
PC(20:1/24:2)+H,PC,(20:1/24:2),M+H,C52 H99 O8 N1 P1,896.708555,26.325348,P,1,896.7091035,896.7102835,C
PC(20:0/24:1)+H,PC,(20:0/24:1),M+H,C52 H103 O8 N1 P1,900.738143,27.780715,P,1,900.7386915,900.7415835,C
TG(20:0/16:0/18:1)+NH4,TG,(20:0/16:0/18:1),M+NH4,C57 H112 O6 N1,906.846192,28.991368,P,1,906.8467405,906.8484155,C
DG(38:2/18:1)+NH4,DG,(38:2/18:1),M+NH4,C59 H114 O5 N1,916.865541,30.04405,P,1,916.8660895,916.8691505,C
PC(24:0/22:6)+H,PC,(24:0/22:6),M+H,C54 H97 O8 N1 P1,918.693218,24.304986,P,1,918.6937665,918.6946335,C
PC(26:1/20:4)+H,PC,(26:1/20:4),M+H,C54 H99 O8 N1 P1,920.704986,25.740139,P,1,920.7055345,920.7102835,C
PC(28:1/18:2)+H,PC,(28:1/18:2),M+H,C54 H103 O8 N1 P1,924.738283,27.36508,P,1,924.7388315,924.7415835,C
PC(28:0/18:2)+H,PC,(28:0/18:2),M+H,C54 H105 O8 N1 P1,926.755788,28.234076,P,1,926.7563365,926.7572335,C
TG(16:0/18:1/22:0)+NH4,TG,(16:0/18:1/22:0),M+NH4,C59 H116 O6 N1,934.876608,29.235193,P,1,934.8771565,934.8797155,C
PC(24:0/24:2)+H,PC,(24:0/24:2),M+H,C56 H109 O8 N1 P1,954.786621,28.291889,P,1,954.7871695,954.7885335,C
PIP(34:2/18:1)-H,PIP,(34:2/18:1),M-H,C61 H113 O16 N0 P2,1163.749848,25.216282,N,1,1163.749299,1163.75094,C
