m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
140.0118654,1.81E-09,93333280,326407334.3,655.782,647.37,688.128,2440,2931,2388,0
181.0094528,2.33E-10,93236064,340579088,1258.37,1252.47,1261.53,3349,3881,3594,0
181.009491,0,92877600,173258808,1231.32,1228.43,1231.32,3349,3881,3595,0
132.946321,1.84E-10,92008320,693533094,625.399,605.278,653.842,2274,2756,2168,0
359.1196716,6.17E-08,89582264,245025151.2,640.198,630.093,651.705,6717,7105,7391,0
390.9006073,4.85E-09,87675928,373475527.1,625.399,610.912,632.841,7165,7509,7863,0
505.988636,1.37E-07,84128488,196780964.1,607.623,603.015,621.376,8579,8772,9473,0
130.0590752,5.57E-09,83756712,348123248.7,204.623,190.002,243.395,2203,2679,2073,0
254.0801103,8.52E-09,82574416,198512451.8,536.154,521.321,548.86,4853,5352,5418,0
239.0773722,4.55E-10,80690368,284309356.8,706.336,688.128,724.833,4554,5056,5051,0
186.045549,3.70E-09,80308936,206744006.9,528.817,523.679,545.957,3451,3975,3728,0
263.0126038,0,80273504,226473368,1231.32,1228.43,1233.67,5029,5524,5600,0
263.0125504,1.46E-09,78845248,1628058884,1225.82,1107.14,1225.82,5029,5524,5601,0
263.0125573,2.57E-09,78431328,850982872.7,1236.82,1236.82,1295.58,5029,5524,5602,0
194.9274495,2.17E-09,78030872,103639452.5,589.396,587.182,592.686,3628,4152,3938,0
221.9843845,3.50E-08,77025064,143814311.5,610.912,605.278,625.399,4190,4704,4627,0
174.0407085,4.22E-09,75063432,142836269.3,584.909,579.409,597.921,3176,3702,3384,0
99.00640106,1.16E-10,74580248,256359864,1208.91,1203.54,1211.79,1370,1748,1091,0
99.00641123,1.36E-10,74050144,204552100,1236.82,1233.67,1239.3,1370,1748,1092,0
175.0247955,9.31E-10,73649152,113988852.4,579.409,574.583,587.182,3207,3732,3422,0
70.94610596,0,71633592,203600404,490.212,488.26,492.166,465,781,419,0
70.94610023,1.46E-11,71539728,269394808,499.123,494.257,501.893,465,781,420,0
113.0244973,2.27E-10,71427592,397705793.4,640.198,625.399,676.207,1767,2176,1457,0
70.94609604,2.21E-10,71318000,466833336.1,508.297,505.799,533.936,465,781,421,0
316.1164442,2.38E-07,71177632,186003445.1,670.575,663.405,701.229,6046,6483,6709,0
99.00639754,8.36E-11,70463504,616414326,1258.37,1252.47,1288.5,1370,1748,1093,0
190.0179901,1.30E-09,70133880,155703108.1,579.409,574.583,587.182,3542,4063,3823,0
305.0232544,0,69212456,189453380,1231.32,1228.43,1233.67,5852,6299,6505,0
176.9359451,1.21E-09,68902312,365156965.8,625.399,607.623,630.093,3255,3778,3477,0
305.0232239,0,68769696,131321712,1225.82,1223.34,1225.82,5852,6299,6506,0
88.99793159,2.72E-07,67842296,190496447.9,528.817,523.679,543.874,1058,1399,771,0
305.0232239,9.31E-10,66994656,188708760,1239.3,1236.82,1242.59,5852,6299,6507,0
606.0745951,6.85E-07,66449360,124081182.5,587.182,584.909,597.921,9457,9560,10438,0
161.0455322,5.88E-10,64815452,390311977.1,640.198,625.399,670.575,2891,3417,3044,0
354.0525284,4.18E-08,63425688,157524117.8,193.297,186.706,220.189,6623,7018,7281,0
114.0560575,1.16E-10,61653632,303272544.6,632.841,623.049,658.043,1790,2203,1492,0
216.0360441,2.24E-09,61428720,273172523.6,637.18,623.049,661.194,4057,4576,4460,0
78.95909233,2.84E-10,61370660,433987931.2,623.049,603.015,650.522,754,1077,573,0
72.94313431,1.75E-11,60893140,335011480,485.76,475.368,488.26,539,860,459,0
255.2331303,2.32E-09,60226816,124191359.3,174.582,168.762,186.706,4885,5382,5461,0
307.080307,7.85E-08,60151780,145491464.5,595.031,589.396,607.623,5892,6337,6555,0
72.94313202,4.07E-11,58712484,280863756,499.123,492.166,501.893,539,860,460,0
72.94313465,9.74E-11,58617640,390482446.1,508.297,505.799,536.154,539,860,461,0
115.0037193,1.75E-10,56968456,96697487.5,579.409,574.583,582.159,1812,2226,1510,0
164.0120239,3.62E-10,56739376,209971289.8,563.091,555.516,574.583,2945,3471,3100,0
134.0176392,1.63E-09,55728920,134509808.2,587.182,582.159,603.015,2304,2791,2215,0
89.05179914,3.65E-07,53212740,162832581,528.817,523.679,550.271,1068,1413,794,0
298.1143968,1.70E-08,52602248,152273979.5,647.37,642.947,663.405,5718,6176,6366,0
180.0595012,2.74E-08,52489388,231214816.5,640.198,623.049,663.405,3329,3860,3572,0
388.155835,3.05E-08,51397352,85958874.97,176.81,174.582,186.706,7122,7468,7811,0
246.9812029,1.48E-09,49597068,194503485.3,1269.78,1263.88,1288.5,4704,5200,5231,0
246.9812103,4.19E-10,48259404,222506772,1261.53,1249.17,1261.53,4704,5200,5232,0
112.0404485,1.25E-09,47296356,112262630.4,579.409,574.583,587.182,1729,2136,1429,0
146.0652222,2.34E-09,47171080,117921132.1,661.194,653.842,676.207,2588,3102,2640,0
240.0807098,3.65E-09,47157604,215838694.7,640.198,621.376,661.194,4574,5077,5078,0
