"","m/z","var_m/z","max_int","sum_int","RT","minRT","maxRT","part_ID","EIC_ID","peak_ID","Score"
"339",860.695085797991,7.41510164170038e-08,3061088.25,14977151.40625,1597.64,1585.85,1604.27,6306,11223,7778,0
"340",812.54501620206,1.15561214360324e-05,3048838.75,22857341.15625,1279.9,1264.41,1285.15,6052,10585,7226,0
"341",180.973132466161,3.48642359127766e-07,3037653,64194972.5507812,229.668,178.996,274.273,536,828,585,0
"342",786.530403137207,1.9205201949392e-07,3032403.25,17876167.5,1261.52,1259.7,1276.09,5887,10184,6862,0
"343",788.594177246094,2.34267541340419e-06,3029128.5,16976631.3125,1283.58,1273.57,1286.74,5900,10214,6888,0
"344",778.575463867188,9.61952739291721e-08,3001185.25,20650111.875,1423.35,1404.56,1426.39,5838,10093,6776,0
"345",822.637194824219,2.39163637161255e-07,2998652.75,12231143.25,1293.9,1290.22,1298.39,6101,10709,7324,0
"346",793.602024623326,1.72072932833717e-08,2985260,17273879.375,1188.82,1180.62,1192.63,5941,10297,6957,0
"347",822.636962890625,1.70008702711626e-07,2982381,23156055.0703125,1281.22,1261.52,1285.15,6101,10709,7325,0
"348",778.551243373326,1.76153012684413e-07,2981835.5,17326745,1192.63,1185.23,1196.46,5838,10094,6779,0
"349",828.576471502131,1.53075564991344e-07,2977662.75,25719543.875,1217.17,1200.12,1222.94,6140,10790,7380,0
"350",887.548928653493,3.52478202651529e-07,2973016,30600856.75,1145.52,1145.52,1185.23,6464,11559,8096,0
"351",749.522800021701,3.7263251013226e-07,2960995.25,16681039.125,1212.18,1202.62,1220.85,5659,9684,6416,0
"352",786.576867675781,1.11145632607596e-05,2960463.25,22064738.546875,1187.5,1157.33,1191.04,5887,10185,6863,0
"353",758.604522705078,1.06756176267351e-06,2959592.75,18435702.375,1204.97,1194.21,1209.96,5720,9803,6521,0
"354",751.544708251953,4.33375438054403e-07,2958242,10946588,1315.93,1313.95,1319.09,5671,9707,6441,0
"355",883.535034179688,7.53336482577854e-08,2927551.75,20584964.109375,1129.02,1112.93,1138.84,6439,11522,8058,0
"356",787.59130859375,1.26659870147705e-07,2926109.75,12885270.5,1293.9,1293.9,1302.16,5895,10200,6876,0
"357",852.576629638672,6.20881716410319e-09,2901920.75,10984420.75,1185.23,1177.86,1185.23,6266,11113,7671,0
"358",790.592120830829,2.82739981626853e-07,2886957.25,28201202.25,1198.14,1194.21,1220.85,5917,10249,6918,0
"359",777.562438964844,4.89254792531331e-07,2871248,9630710,1354.48,1352.77,1358.79,5833,10083,6764,0
"360",758.606188964844,6.84335827827454e-07,2866622.5,12512937.75,1212.18,1212.18,1220.85,5720,9803,6522,0
"361",788.594796316964,9.11809149242583e-08,2858618.25,16280135,1292.22,1290.22,1302.16,5900,10214,6889,0
"362",231.931617736816,7.21774995326996e-10,2850273.5,15641806.75,1138.84,1129.02,1142.48,1226,1899,1282,0
"363",729.563722156343,9.20144540369164e-07,2838788.25,56030385.5566406,1470.31,1441.53,1554.98,5502,9378,6164,0
"364",758.603073120117,9.8321054662977e-07,2827970.25,13249294,1185.23,1165.1,1187.5,5720,9803,6523,0
"365",783.568054199219,1.67638063430786e-08,2812755.5,13374876.5,1198.14,1196.46,1204.97,5870,10150,6832,0
"366",835.531275431315,8.01713516314824e-06,2807234.5,13109724.390625,1202.62,1177.86,1207.61,6179,10880,7440,0
"367",790.589420318604,1.24983334292968e-05,2806951.75,22611895.890625,1188.82,1154.7,1191.04,5917,10249,6919,0
"368",862.706890869141,6.76497434958433e-06,2797564.5,40025407.78125,1610.65,1582.68,1700.91,6316,11250,7797,0
"369",158.975343976702,5.76533022381011e-10,2793661.75,11546492.4257812,1021.95,1019.45,1035.48,203,301,212,0
"370",788.584940592448,3.27373995925441e-08,2782275,27064011.375,1200.12,1198.14,1222.94,5900,10213,6886,0
